Repo,Notes,Repository Link,Stars,License,Policy URL,Policy Location,Visibility Score,PR template,Policy Exists,Policy documented in Repo,Policy linked from README,AI disclosure in PR template,Dedicated AI Policy,Governance Score,
Airflow,,https://github.com/apache/airflow,45.8k,Apache-2.0,https://github.com/apache/airflow/blob/main/contributing-docs/05_pull_requests.rst#gen-ai-assisted-contributions,airflow/contributing-docs,3,"Was generative AI tooling used to co-author this PR?

 Yes (please specify the tool below)",1,1,,1,1,4,
Apache CouchDB,Forbidden to contribute AI material,https://github.com/apache/couchdb,6.9k,Apache-2.0,,,,,,,,,,0,
Arrow,,https://github.com/apache/arrow,16.8k,Apache-2.0,https://arrow.apache.org/docs/dev/developers/overview.html#ai-generated-code,In their development page on their website,2 (becuase of a link in their pr template),"Thanks for opening a pull request!

If this is your first pull request you can find detailed information on how to contribute here:

New Contributor's Guide
Contributing Overview
AI-generated Code Guidance
Please remove this line and the above text before creating your pull request.",1,,1,1,1,4,
Awesome-mcp-servers,,https://github.com/punkpeye/awesome-mcp-servers,88.9k,MIT ,,,,,,,,,,0,
cilium,,https://github.com/cilium/cilium,24.5k,Apache-2.0,https://github.com/cilium/community/blob/main/AI-POLICY.md,under /community/AI-policy.md,3," Disclose use of machine learning models (including LLMs and other generative AI) in accordance with the Cilium AI Policy, and indicate the rating using AI Influence Level. Example: ""This PR was prepared with AIL:3. I personally checked X.""",1,,,1,1,3,
CloudNativePg Landscape ,,https://github.com/cncf/landscape,9.9k,Apache-2.0,https://github.com/cloudnative-pg/governance/blob/main/AI_POLICY.md,under another repository owned by the foundation,1,no,1,,,,1,2,
curl,difficult to find AI contribution ,https://github.com/curl/curl,42.1k,--,https://curl.se/dev/contribute.html#on-ai-use-in-curl,external website,1,no,1,,,,1,2,
Django,difficult to find AI contribution ,https://github.com/django/django,87.8k,BSD-3-Clause,https://docs.djangoproject.com/en/dev/internals/contributing/writing-code/submitting-patches/#ai-assisted-contributions,external documentation website ,3,"AI Assistance Disclosure (REQUIRED)

 No AI tools were used in preparing this PR.
 If AI tools were used, I have disclosed which ones, and fully reviewed and verified their output.",1,,,1,1,3,
Drupal,double check whether to use ,https://github.com/drupal/drupal,4.3k,GNU,https://www.drupal.org/docs/develop/issues/issue-procedures-and-etiquette/policy-on-the-use-of-ai-when-contributing-to-drupal,external documentation website ,1,,,,,,,0,
Easybuild,,https://github.com/easybuilders/easybuild,511,GPL-2.0,https://docs.easybuild.io/policies/ai/,external documentation website ,1,no,1,,1,,1,3,
Fedify,,https://github.com/fedify-dev/fedify,986,MIT ,https://github.com/fedify-dev/fedify/blob/main/AI_POLICY.md,directly in repository,2,no,1,1,,,1,3,
GDAL,,https://github.com/OSGeo/gdal,5.9k,GDAL (under MIT),https://gdal.org/en/stable/community/ai_tool_policy.html,external documentation website ,3,"AI tool usage

 AI (Y-a-t-il-un-Copilot-dans-l'avion, Chat-j'ai-pété, Jean-Claude Dusse or something similar) supported my development of this PR. See our policy about AI tool use. Use of AI tools must be indicated.",1,,,1,1,3,
Ghostty,,https://github.com/ghostty-org/ghostty,56.3k,MIT License,https://github.com/ghostty-org/ghostty/blob/main/AI_POLICY.md,directly in repository,2,no,1,1,1,,1,4,
Gitea,,https://github.com/go-gitea/gitea,56.2k,MIT License,https://github.com/go-gitea/gitea/blob/main/CONTRIBUTING.md#ai-contribution-policy,directly in repository,2 (link in pr) ,no,1,1,1,1,1,5,
Brew,,https://github.com/Homebrew/brew,48.4k,BSD-2-Clause,https://github.com/Homebrew/brew/blob/main/CONTRIBUTING.md#artificial-intelligencelarge-language-model-aillm-usage,directly in repository,3, AI was used to generate or assist with generating this PR.,1,1,1,1,1,5,
IREE,,https://github.com/iree-org/iree,3.8k,Apache-2.0,https://iree.dev/developers/general/contributing/#ai-tool-use,external documentation website ,1,no,1,,,,1,2,
Joomla CMS,,https://github.com/joomla/joomla-cms,5.1k,GPL-2.0,https://developer.joomla.org/generative-ai-policy.html,external documentation website ,3, I read the Generative AI policy and my contribution is either not created with the help of AI or is compatible with the policy and GNU/GPL 2 or later.,1,,,1,1,3,
